C,E1
0,0
0.00639,0.004808
0.019169,0.009615
0.028754,0.019231
0.035144,0.019231
0.047923,0.019231
0.057508,0.019231
0.057508,0.024039
0.063898,0.028846
0.063898,0.033654
0.070288,0.052885
0.079872,0.067308
0.083067,0.081731
0.092652,0.091346
0.102236,0.096154
0.102236,0.115385
0.108626,0.115385
0.111821,0.129808
0.118211,0.149039
0.124601,0.163462
0.13099,0.173077
0.134185,0.182692
0.14377,0.197115
0.14377,0.216346
0.15016,0.225962
0.15016,0.230769
0.153355,0.240385
0.153355,0.259615
0.169329,0.264423
0.169329,0.283654
0.169329,0.283654
0.178914,0.288462
0.182109,0.293269
0.194888,0.293269
0.204473,0.293269
0.214058,0.302885
0.214058,0.302885
0.214058,0.302885
0.214058,0.302885
0.226837,0.3125
0.239617,0.3125
0.255591,0.317308
0.255591,0.326923
0.261981,0.336539
0.268371,0.341346
0.271566,0.346154
0.277955,0.355769
0.290735,0.355769
0.290735,0.365385
0.29393,0.389423
0.313099,0.394231
0.319489,0.399039
0.332268,0.408654
0.338658,0.413462
0.351438,0.432692
0.357828,0.4375
0.361022,0.4375
0.361022,0.442308
0.383387,0.447115
0.389776,0.451923
0.396166,0.461539
0.405751,0.461539
0.412141,0.471154
0.421725,0.480769
0.42492,0.5
0.42492,0.504808
0.43131,0.514423
0.43131,0.519231
0.4377,0.528846
0.447284,0.543269
0.453674,0.557692
0.453674,0.567308
0.460064,0.581731
0.466454,0.591346
0.469649,0.600962
0.476038,0.600962
0.485623,0.600962
0.488818,0.610577
0.492013,0.610577
0.501597,0.615385
0.511182,0.620192
0.514377,0.629808
0.517572,0.649039
0.520767,0.649039
0.527157,0.663462
0.530351,0.673077
0.536741,0.673077
0.536741,0.677885
0.539936,0.677885
0.552716,0.677885
0.559105,0.682692
