bs_before,bs_after30,bs_after,somesuc30,somesuc,treat,prevol_prod,postvol_prod30,postvol_prod
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1000,1000,1000
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,2,4,1,1,1,0,0,1000
0,0,0,0,0,0,1000,1000,2000
0,1,1,1,1,0,0,0,0
0,2,3,1,1,0,1000,2000,3000
0,0,0,0,0,0,1000,0,1000
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1000
1,1,1,1,1,0,1000,0,1000
0,0,0,0,0,1,0,0,1000
0,0,0,0,0,0,1000,2000,2000
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1000
0,0,0,0,0,0,0,1000,1000
1,0,6,0,1,0,0,0,0
0,1,1,1,1,1,0,0,0
0,1,3,1,1,0,1000,1000,3000
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1000
0,1,1,1,1,1,0,0,0
0,0,0,0,0,1,1000,1000,3000
0,0,1,0,1,1,1000,0,0
0,0,0,0,0,0,1000,1000,2000
1,0,2,0,1,0,0,0,0
0,0,0,0,0,1,1000,0,2000
0,0,0,0,0,1,1000,0,1000
0,0,0,0,0,0,1000,1000,3000
0,0,0,0,0,0,1000,0,1000
0,1,2,1,1,1,0,0,1000
0,0,0,0,0,1,0,0,1000
0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0
0,0,0,0,0,0,1000,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1000
1,0,2,0,1,0,1000,2000,5000
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1000
0,0,1,0,1,1,0,1000,1000
1,0,0,0,0,0,1000,0,2000
0,0,0,0,0,0,0,0,1000
1,0,2,0,1,0,0,0,1000
0,0,1,0,1,1,1000,1000,2000
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1000,0,1000
1,0,1,0,1,1,1000,0,2000
0,1,3,1,1,0,0,0,0
0,0,1,0,1,0,1000,0,1000
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1000,1000,2000
0,0,0,0,0,1,0,1000,2000
1,0,2,0,1,1,1000,0,1000
0,0,0,0,0,0,1000,0,1000
2,0,0,0,0,1,1000,1000,2000
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1000
0,0,0,0,0,1,0,0,0
0,0,1,0,1,0,1000,0,1000
0,0,0,0,0,0,1000,1000,2000
0,0,2,0,1,0,0,0,1000
0,1,1,1,1,0,0,0,1000
0,0,2,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1000,1000,3000
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1000,2000
0,0,2,0,1,0,0,0,1000
0,0,0,0,0,1,0,0,1000
0,0,1,0,1,0,1000,1000,3000
0,0,0,0,0,1,1000,1000,1000
0,0,0,0,0,1,1000,1000,1000
0,1,1,1,1,1,0,0,1000
0,0,0,0,0,1,1000,0,1000
0,0,0,0,0,0,1000,1000,1000
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1000,0,1000
1,0,0,0,0,1,0,0,0
0,0,1,0,1,1,1000,1000,2000
0,0,1,0,1,0,1000,1000,3000
0,0,2,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0
1,1,1,1,1,0,0,0,1000
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1000
0,0,0,0,0,0,1000,0,1000
0,0,0,0,0,0,1000,0,1000
0,1,2,1,1,1,1000,1000,2000
1,0,1,0,1,0,0,1000,1000
0,0,0,0,0,0,0,0,1000
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,2000,2000,4000
0,0,2,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1000,1000,4000
0,1,1,1,1,1,2000,2000,5000
0,1,1,1,1,1,0,0,0
0,1,1,1,1,0,0,0,1000
0,0,0,0,0,0,1000,0,1000
0,0,2,0,1,1,1000,1000,4000
0,0,0,0,0,0,1000,0,1000
0,0,0,0,0,0,1000,1000,3000
1,1,1,1,1,0,1000,1000,2000
0,0,4,0,1,0,0,0,1000
0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1000,1000,2000
1,0,0,0,0,1,0,0,0
0,0,0,0,0,1,1000,0,2000
0,0,2,0,1,1,1000,2000,5000
1,0,0,0,0,1,0,0,1000
0,0,0,0,0,0,0,0,1000
0,0,0,0,0,1,0,1000,2000
0,0,0,0,0,0,1000,0,2000
0,0,0,0,0,0,0,0,1000
0,0,2,0,1,0,0,0,1000
0,0,0,0,0,0,0,0,1000
0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,0,0,1000
0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1000,0,0
0,0,0,0,0,0,1000,2000,4000
1,0,0,0,0,1,1000,1000,3000
0,0,0,0,0,1,1000,0,2000
1,0,1,0,1,0,0,0,0
0,0,0,0,0,1,0,0,1000
0,0,0,0,0,0,1000,1000,2000
0,0,0,0,0,0,0,1000,1000
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,2000,1000,4000
0,0,3,0,1,0,1000,1000,1000
0,0,0,0,0,0,0,0,1000
0,0,0,0,0,1,0,0,1000
0,0,0,0,0,0,0,0,1000
0,1,1,1,1,0,2000,1000,4000
0,0,0,0,0,0,0,0,1000
0,0,1,0,1,0,0,0,1000
0,1,1,1,1,1,1000,1000,4000
0,0,1,0,1,0,1000,1000,2000
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1000,1000,1000
0,0,1,0,1,1,1000,0,1000
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1000,1000,2000
0,0,0,0,0,1,1000,1000,1000
0,0,0,0,0,0,1000,1000,4000
0,0,0,0,0,0,0,0,1000
0,0,0,0,0,0,0,0,1000
0,0,0,0,0,0,0,0,1000
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1000
1,0,0,0,0,1,1000,0,1000
0,2,2,1,1,1,0,0,0
0,0,0,0,0,0,1000,1000,3000
1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1000
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0
0,0,2,0,1,0,0,0,2000
0,0,0,0,0,0,0,1000,1000
0,2,5,1,1,0,1000,2000,6000
0,1,2,1,1,1,1000,1000,2000
0,0,0,0,0,1,2000,1000,2000
1,1,2,1,1,1,0,0,1000
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,1000,1000,2000
0,0,0,0,0,1,0,0,0
0,1,1,1,1,1,0,1000,1000
0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,1000,1000,2000
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1000
0,0,0,0,0,1,2000,1000,5000
0,0,0,0,0,1,1000,1000,2000
0,0,0,0,0,0,0,0,1000
0,0,0,0,0,0,0,1000,1000
0,0,1,0,1,0,0,0,1000
1,1,4,1,1,1,0,0,1000
0,0,0,0,0,0,0,0,1000
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,2000
0,0,0,0,0,1,1000,1000,2000
0,2,3,1,1,0,1000,1000,3000
0,0,0,0,0,1,0,0,2000
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1000,2000,3000
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1000,1000,2000
0,0,0,0,0,0,0,0,1000
0,0,0,0,0,0,0,0,1000
1,0,0,0,0,0,1000,1000,2000
0,0,0,0,0,0,1000,0,0
0,0,0,0,0,0,1000,1000,2000
0,0,0,0,0,0,0,0,1000
0,0,0,0,0,0,1000,1000,2000
0,0,0,0,0,0,2000,1000,1000
0,0,0,0,0,0,0,1000,2000
0,0,0,0,0,1,1000,0,1000
0,0,0,0,0,0,1000,1000,1000
0,0,0,0,0,1,0,0,1000
0,0,0,0,0,0,1000,0,2000
1,0,1,0,1,0,0,0,1000
0,0,0,0,0,0,1000,0,0
0,0,1,0,1,1,0,0,1000
0,0,0,0,0,1,0,0,0
0,1,1,1,1,1,1000,0,1000
0,0,3,0,1,0,0,1000,2000
0,0,0,0,0,0,1000,0,1000
2,1,1,1,1,1,1000,0,0
0,0,1,0,1,1,0,0,1000
0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,0,1000
0,0,1,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1000,1000,3000
0,0,0,0,0,1,1000,1000,2000
0,0,1,0,1,0,0,0,1000
0,0,0,0,0,0,1000,1000,1000
0,0,0,0,0,0,0,1000,1000
1,0,0,0,0,0,1000,1000,2000
0,0,0,0,0,0,0,0,1000
0,0,0,0,0,1,0,0,2000
0,0,0,0,0,1,1000,1000,2000
1,0,1,0,1,0,1000,0,0
0,0,0,0,0,0,0,0,2000
0,0,0,0,0,0,0,0,1000
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,2000
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1000,0,0
0,0,1,0,1,1,0,0,2000
0,0,0,0,0,0,1000,0,0
1,2,2,1,1,0,0,0,0
1,1,1,1,1,1,0,0,1000
0,0,0,0,0,0,1000,1000,3000
0,0,1,0,1,0,0,0,1000
0,0,0,0,0,0,0,1000,1000
0,0,2,0,1,1,1000,0,0
1,0,0,0,0,0,2000,2000,6000
0,0,0,0,0,1,1000,1000,2000
