extradollars,extradonors,somesuc,strength,percbacked,matchnr,goal,anyfacebooklikes,round
0,1,1,0,0,1,100,0,1
0,0,0,1,1,1,100,0,1
0,1,1,0,0,2,100,0,1
100,6,1,1,10,2,100,1,1
0,0,0,0,0,3,100,1,1
300,15,1,1,10,3,100,1,1
100,8,1,0,0,4,100,1,1
200,2,1,1,10,4,100,1,1
200,9,1,0,0,5,200,1,1
0,0,0,1,1,5,200,0,1
0,0,0,0,0,6,200,1,1
100,3,1,1,1,6,200,1,1
0,0,0,0,0,7,200,1,1
0,0,0,1,1,7,200,1,1
0,0,0,0,0,8,300,0,1
300,9,1,1,10,8,300,0,1
0,0,0,0,0,9,300,1,1
0,0,0,1,1,9,300,0,1
0,1,1,0,0,10,300,1,1
100,2,1,1,10,10,300,0,1
0,0,0,0,0,11,300,0,1
100,5,1,1,10,11,300,1,1
100,4,1,0,0,12,300,1,1
0,0,0,1,1,12,300,1,1
0,0,0,0,0,13,300,1,1
0,1,1,1,10,13,300,0,1
0,0,0,0,0,14,300,1,1
0,2,1,1,10,14,300,0,1
0,2,1,0,0,15,400,1,1
0,0,0,1,1,15,400,1,1
0,0,0,0,0,16,400,1,1
0,1,1,1,1,16,400,1,1
0,0,0,0,0,17,400,0,1
0,0,0,1,1,17,400,1,1
400,1,1,0,0,18,400,0,1
0,2,1,1,10,18,400,1,1
0,0,0,0,0,19,400,0,1
0,0,0,1,1,19,400,1,1
0,0,0,0,0,20,400,0,1
0,2,1,1,10,20,400,1,1
100,2,1,0,0,21,400,1,1
0,1,1,1,10,21,400,0,1
0,0,0,0,0,22,500,1,1
0,3,1,1,1,22,500,1,1
0,0,0,0,0,23,500,1,1
600,17,1,1,1,23,500,1,1
0,0,0,0,0,24,500,0,1
0,1,1,1,1,24,500,1,1
0,1,1,0,0,25,500,1,1
100,7,1,1,1,25,500,1,1
0,0,0,0,0,26,500,0,1
0,0,0,1,1,26,500,1,1
0,0,0,0,0,27,500,0,1
500,6,1,1,1,27,500,1,1
100,3,1,0,0,28,500,1,1
100,3,1,1,1,28,500,1,1
0,0,0,0,0,29,500,1,1
0,1,1,1,1,29,500,1,1
0,0,0,0,0,30,500,1,1
200,7,1,1,1,30,500,1,1
0,0,0,0,0,31,500,0,1
0,1,1,1,1,31,500,1,1
0,0,0,0,0,32,500,0,1
0,2,1,1,1,32,500,1,1
0,0,0,0,0,33,500,1,1
0,0,0,1,1,33,500,1,1
0,0,0,0,0,34,500,0,1
300,2,1,1,10,34,500,1,1
0,0,0,0,0,35,500,0,1
0,0,0,1,10,35,500,1,1
0,0,0,0,0,36,500,0,1
0,2,1,1,10,36,500,0,1
0,0,0,0,0,37,500,0,1
500,11,1,1,10,37,500,1,1
0,1,1,0,0,38,500,1,1
0,2,1,1,10,38,500,1,1
100,1,1,0,0,39,500,0,1
0,0,0,1,10,39,500,1,1
600,2,1,0,0,40,500,0,1
100,1,1,1,10,40,500,0,1
0,1,1,0,0,41,500,1,1
0,1,1,1,10,41,500,0,1
200,3,1,0,0,42,500,1,1
0,1,1,1,10,42,500,0,1
0,3,1,0,0,43,500,1,1
300,8,1,1,10,43,500,1,1
0,0,0,0,0,44,500,0,1
0,0,0,1,10,44,500,1,1
0,0,0,0,0,45,500,1,1
0,0,0,1,10,45,500,0,1
0,0,0,0,0,46,600,0,1
0,0,0,1,1,46,600,1,1
0,0,0,0,0,47,600,0,1
600,30,1,1,1,47,600,1,1
0,0,0,0,0,48,600,1,1
0,1,1,1,1,48,600,1,1
0,0,0,0,0,49,700,0,1
0,0,0,1,10,49,700,1,1
0,0,0,0,0,50,700,0,1
600,23,1,1,10,50,700,1,1
700,9,1,0,0,51,700,1,1
0,0,0,1,10,51,700,1,1
0,0,0,0,0,52,700,1,1
0,2,1,1,1,52,700,1,1
0,0,0,0,0,53,800,0,1
