quality,strength,totaln,totald,somesuc
0,0,0,14,0
1,0,28,0,1
1,0,18,0,1
1,0,0,13,0
1,0,0,12,0
1,0,0,7,0
1,0,16,1,1
0,0,5,1,1
1,0,17,0,1
1,0,0,7,0
1,0,1,8,1
1,0,32,0,1
0,0,0,4,0
1,0,1,3,1
1,0,40,0,1
1,0,0,8,0
1,0,2,6,1
1,0,32,0,1
1,0,21,0,1
1,0,22,0,1
1,0,2,12,1
0,0,0,2,0
0,0,0,13,0
1,0,0,11,0
1,0,3,7,1
0,0,0,23,0
1,0,15,0,1
1,0,14,0,1
0,0,0,7,0
1,0,21,0,1
1,0,15,0,1
0,0,0,15,0
1,0,13,0,1
1,0,0,12,0
1,0,8,0,1
1,0,2,6,1
1,0,17,0,1
0,0,0,9,0
1,0,16,0,1
1,0,0,6,0
1,0,6,10,1
1,0,20,0,1
1,0,17,0,1
1,0,3,6,1
1,0,8,1,1
1,0,29,0,1
1,0,20,0,1
1,0,14,0,1
1,0,17,0,1
1,0,0,8,0
1,0,33,0,1
1,0,1,11,1
1,0,34,0,1
1,0,0,15,0
1,0,5,12,1
0,0,5,1,1
1,0,36,0,1
1,0,23,0,1
0,0,0,24,0
1,0,21,0,1
1,0,26,0,1
1,0,0,8,0
1,0,0,7,0
1,0,21,0,1
0,0,0,17,0
1,0,1,0,1
1,0,1,12,1
1,0,16,0,1
1,0,10,0,1
1,0,21,0,1
1,0,20,0,1
0,0,0,13,0
0,0,0,16,0
1,0,1,6,1
1,0,24,0,1
1,0,21,0,1
1,0,14,0,1
1,0,10,0,1
1,0,0,8,0
1,0,15,0,1
1,0,21,0,1
0,0,2,7,1
0,0,0,11,0
1,0,2,6,1
1,0,1,8,1
1,0,16,0,1
0,0,0,8,0
1,0,15,0,1
1,0,6,0,1
1,0,20,0,1
0,0,0,7,0
0,0,0,11,0
1,0,26,0,1
0,0,0,12,0
1,0,0,11,0
1,0,12,0,1
1,0,4,9,1
0,0,0,9,0
1,0,3,7,1
1,0,0,10,0
1,0,16,0,1
1,0,16,0,1
1,0,11,0,1
1,0,18,0,1
1,0,14,0,1
1,0,9,0,1
1,0,2,4,1
1,0,9,0,1
1,0,0,13,0
1,0,16,0,1
1,0,1,3,1
1,0,25,0,1
1,0,15,0,1
0,0,0,9,0
1,0,9,1,1
1,0,0,16,0
0,0,0,8,0
1,0,0,10,0
0,0,0,9,0
1,0,21,0,1
1,0,0,6,0
0,0,3,7,1
1,0,6,7,1
0,0,0,8,0
1,0,24,0,1
0,0,1,11,1
1,0,21,0,1
1,0,0,9,0
0,0,0,6,0
0,0,0,15,0
1,0,18,0,1
1,0,0,11,0
1,0,25,0,1
1,0,25,0,1
0,0,0,12,0
1,0,2,14,1
1,0,3,8,1
1,0,16,0,1
1,0,8,2,1
0,0,0,9,0
1,0,0,13,0
1,0,16,0,1
1,0,16,0,1
1,0,7,0,1
1,0,3,6,1
1,0,3,8,1
1,0,19,0,1
1,0,12,0,1
0,0,0,17,0
1,0,23,0,1
0,0,0,14,0
0,0,0,17,0
1,0,12,0,1
0,0,2,4,1
1,0,9,0,1
1,0,13,0,1
1,0,27,0,1
1,0,0,12,0
1,0,0,8,0
1,0,31,0,1
1,0,10,1,1
1,0,20,0,1
0,0,0,8,0
0,0,0,15,0
1,0,8,0,1
0,0,0,9,0
1,0,0,12,0
0,0,0,12,0
1,0,15,0,1
1,0,0,13,0
1,0,0,15,0
1,0,0,16,0
1,0,19,0,1
1,0,0,1,0
1,0,22,0,1
0,0,0,33,0
1,0,16,0,1
1,0,0,11,0
0,0,0,9,0
0,0,7,0,1
1,0,16,0,1
1,0,10,7,1
1,0,22,0,1
1,0,22,0,1
1,0,0,9,0
1,0,1,11,1
1,0,0,12,0
1,0,19,0,1
1,0,0,8,0
