VHC,VHE1,VHE4,NHC,NHE1,NHE4
0,0,0,0,0,0
3.906667,5.458065,4.57971,0.255814,0.6666667,1
7.74,10.57419,9.362319,0.4651163,1.583333,1.75
9.026667,12.03871,10.65217,0.5348837,1.9375,2.0625
9.893333,13.08387,11.69565,0.5348837,2.0625,2.3125
10.32,13.52258,12.28986,0.5348837,2.145833,2.4375
10.66667,13.89677,12.62319,0.5581395,2.208333,2.5
10.85333,14.16774,12.85507,0.5581395,2.270833,2.5
10.97333,14.38065,13.08696,0.5581395,2.270833,2.5
11.12,14.52258,13.2029,0.5813953,2.270833,2.5
11.18667,14.58065,13.36232,0.5813953,2.291667,2.5625
11.23333,14.64516,13.44928,0.5813953,2.291667,2.5625
11.30667,14.72258,13.53623,0.5813953,2.3125,2.6875
11.40667,14.85806,13.6087,0.5813953,2.354167,2.75
11.44667,14.92903,13.63768,0.5813953,2.395833,2.75
